Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Lat,Long
12424,DBRT RAJDHANI,PATLIPUTRA,PPTA,124,NR,25.621426,85.068505
12424,DBRT RAJDHANI,BARAUNI JN,BJU,115,NR,25.461768,85.988748
12424,DBRT RAJDHANI,MANSI JN,MNE,121,NR,25.509398,86.554446
12424,DBRT RAJDHANI,NAUGACHIA,NNA,122,NR,25.385261,87.09387
12424,DBRT RAJDHANI,KATIHAR JN,KIR,123,NR,25.548947,87.566409
12424,DBRT RAJDHANI,KISHANGANJ,KNE,154,NR,26.097746,87.949657
12424,DBRT RAJDHANI,NEW JALPAIGURI,NJP,138,NR,26.683025,88.443391
12424,DBRT RAJDHANI,NEW COOCH BEHAR,NCB,120,NR,26.353159,89.469766
12424,DBRT RAJDHANI,KOKRAJHAR,KOJ,148,NR,26.405057,90.274125
12424,DBRT RAJDHANI,NEW BONGAIGAON,NBQ,129,NR,26.4758354405,90.5368434644
12424,DBRT RAJDHANI,RANGIYA JN,RNY,138,NR,26.447901,91.605929
12424,DBRT RAJDHANI,GUWAHATI,GHY,125,NR,26.182635,91.751851
12424,DBRT RAJDHANI,CHAPARMUKH JN,CPK,121,NR,26.202272,92.511718
12424,DBRT RAJDHANI,LUMDING JN,LMG,125,NR,25.750036,93.1766
12424,DBRT RAJDHANI,DIMAPUR,DMV,153,NR,25.905702,93.727816
12424,DBRT RAJDHANI,MARIANI JN,MXN,126,NR,26.652435,94.308203
12424,DBRT RAJDHANI,NEW TINSUKIA JN,NTSK,156,NR,27.479748,95.334128
12424,DBRT RAJDHANI,DIBRUGARH,DBRG,129,NR,27.4636065659,94.9352579102
12425,JAMMU RAJDHANI,NEW DELHI,NDLS,93,NR,28.642314,77.220004
12425,JAMMU RAJDHANI,LUDHIANA JN,LDH,97,NR,30.912367,75.847873
12425,JAMMU RAJDHANI,PATHANKOT CANTT,PTKC,98,NR,32.2593,75.636044
12425,JAMMU RAJDHANI,KATHUA,KTHU,103,NR,32.397897,75.551922
12425,JAMMU RAJDHANI,JAMMU TAWI,JAT,118,NR,32.706975,74.880117
12426,JAMMU RAJDHANI,JAMMU TAWI,JAT,20,NR,32.706975,74.880117
12426,JAMMU RAJDHANI,KATHUA,KTHU,20,NR,32.397897,75.551922
12426,JAMMU RAJDHANI,PATHANKOT CANTT,PTKC,20,NR,32.2593,75.636044
12426,JAMMU RAJDHANI,LUDHIANA JN,LDH,22,NR,30.912367,75.847873
12426,JAMMU RAJDHANI,NEW DELHI,NDLS,22,NR,28.642314,77.220004
12431,TVC NZM RAJDHANI,TRIVANDRUM CNTL,TVC,0,NR,8.486679,76.95121
12431,TVC NZM RAJDHANI,KOLLAM JN,QLN,11,NR,8.886586,76.596753
12431,TVC NZM RAJDHANI,ALLEPPEY,ALLP,11,NR,9.483759,76.322476
12431,TVC NZM RAJDHANI,ERNAKULAM JN,ERS,3,NR,9.969542,76.290672
