Station Name,Rating,Number of Reviews
Savarkundla Railway Station,4.2,688
Chalala Railway Station,5.0,3
Chorvad Road Railway Station,4.0,18
Boisar Railway Station,3.8,9851
Anand Vihar Terminal Railway Station,4.1,89107
Old Delhi Railway Station,4.1,58090
Hazrat Nizamuddin Railway Station,3.8,56806
Ghaziabad Railway Station,3.8,33663
Delhi Cantt Railway Station,4.3,25271
Gurgaon Railway Station,4.1,11245
Sarai Rohilla Railway Station,3.9,8901
Ballabgarh Railway Station,3.8,8202
New Delhi Railway Station,4.0,6567
Sabzi Mandi Railway Station,3.5,4417
Amreli Railway Station,4.4,420
Damnagar Railway Station,4.0,136
Lathi Railway Station,4.5,60
Liliya Mota Railway Station,4.3,16
Kunkavav Railway Station,4.9,9
Dhasa Junction,4.7,7
Dhola Railway Station,4.5,40
Bharuch Junction,4.1,6320
Ankleshwar Railway Station,4.1,4092
Kosamba Junction,4.0,231
Lakodra Dethan Railway Station,3.8,33
Karjan Railway Station,4.0,624
Makarpura Railway Station,4.1,276
Varachha Railway Station,4.0,10
Surat Railway Station,4.1,3982
Dabhoi Junction,4.1,119
Atladara Railway Station,3.6,29
Botad Railway Station,4.4,1512
Songadh Railway Station,4.2,989
Palitana Railway Station,4.1,553
Mahuva Railway Station,4.2,475
Sihor Railway Station,4.2,228
Budhel Railway Station,3.0,10
Bajud Railway Station,4.4,5
Bhuj Railway Station,4.2,7476
Sukhpar Railway Station,4.0,17
Anjar Railway Station,3.7,59
Adipur Railway Station,3.8,414
Shiv Dhara Nagar,3.9,11
Gandhidham Roh Depot,4.2,29
Padana Railway Station,3.7,16
Bhachau Railway Station,4.2,683
Sikka Railway Station,3.4,14
Jamnagar Railway Station,4.3,4130
Godhra Junction,4.0,1415
Piplod Railway Station,3.6,32
Samlaya Junction,3.7,21
Pavi Jetpur Railway Station,3.4,13
Chhayapuri Railway Station,4.1,419
Dahod Railway Station,4.0,2172
Nandesari Railway Station,4.1,17
Vasad Junction,3.9,86
Anand Railway Station,4.1,4345
Hapa Railway Station,4.0,2605
Kanalus Junction,3.9,124
Okha Madhi Railway Station,4.1,61
Jam Jodhpur Railway Station,4.0,51
Khambhalia Railway Station,4.2,187
Keshod Railway Station,4.2,1256
Junagadh Railway Station,4.3,150
Jetalsar Junction,4.2,201
Navagadh Railway Station,3.8,136
Jetpur Railway Station,4.4,45
Dhoraji Railway Station,4.3,19
Surajbari Railway Station,3.7,25
Petlad Railway Station,4.1,257
Borsad Railway Station,2.7,4
Anklav Railway Station,3.5,44
Nadiad Junction,4.2,2374
Nadiad Railway Station,4.1,1968
Lothal Bhurki Railway Station,4.3,12
Dholka Railway Station,4.8,7
Gothaj Railway Station,3.8,137
Barejadi Nandej Railway Station,4.0,296
Vatva Railway Station,4.0,247
Maninagar Railway Station,4.0,4211
Kankaria Railway Station,4.4,9
Viramgam Railway Station,3.9,3879
Wankaner Junction,4.0,663
Mahendra Para Railway Station,4.2,205
Dhanala Railway Station,4.0,29
Wankaner Bypass Cabin,4.0,5
Rajkot Junction,4.3,4521
Upleta Railway Station,5.0,4
Kothariya Railway Station,4.1,21
Dhrangadhra Junction,4.3,102
Bhestan Railway Station,3.3,877
Chalthan Railway Station,4.1,73
Udhna Chord Cabin,3.3,9
Udhna Junction,3.9,899
Bardoli Railway Station,4.3,272
Palanpur Railway Station,4.1,2695
Iqbal Gadh Railway Station,3.8,40
Deesa Railway Station,4.5,52
Sarotra Railway Station,3.3,22
Unjha Railway Station,4.1,123
Patan Railway Station,4.2,862
Abu Road Railway Station,4.1,9042
Mehsana Railway Station,4.4,3822
Raniwara Railway Station,4.2,474
Porbandar Railway Station,4.4,1544
Gondal Railway Station,4.3,92
Virpur Railway Station,5.0,4
Ukai Songadh Railway Station,4.0,41
Ambala Cantonment Railway Station,4.1,24605
Ambala City Railway Station,3.8,2102
Barara Railway Station,3.9,382
New Dukheri Railway Station,3.6,5
Dhola Mazra Railway Station,4.0,20
Patiala Cantt Railway Station,4.0,184
Bhiwani Railway Station,4.3,1007
Charkhi Dadri Railway Station,4.1,668
Garhi Railway Station,3.0,2
Jhajjar Railway Station,4.1,1924
Kila Zafargarh Railway Station,3.9,35
Mayar Railway Station,3.9,63
Rohtak Junction Railway Station,3.7,427
Nanwan Railway Station,4.0,1
Kinana Railway Station,3.0,1
Charaud Railway Station,4.0,10
Faridabad Railway Station,3.6,280
Ballabhgarh Railway Station,3.5,597
Tughlakabad Railway Station,3.8,275
Okhla Railway Station,4.1,3229
Mahrauli Railway Station,4.5,8
Lajpat Nagar Railway Station,4.0,95
Sewa Nagar Railway Station,4.0,7
Dmrc Noida Depot Control' Center,4.0,2
Bijwasan Railway Station,3.9,118
Deepak Kumar,2.9,9
Shahabad Mohammadpur,3.9,142
Basai Dhankot Railway Station,3.9,140
Shahabad Mohammadpur Railway Station,4.1,51
Palam Railway Station,3.9,3925
Garhi Harsaru Junction,4.0,187
Delhi Safdarjung,3.6,3141
Hissar Railway Station,4.3,1955
Jakhod Khera Railway Station,4.1,40
Jind Railway Station,4.3,964
Narwana Junction Railway Station,4.0,903
Narwana Railway Station,4.3,140
Butana,3.9,10
Khandrai Halt Junction Railway Station,3.9,4
Gohana Junction Railway Station,4.2,185
Kaithal Railway Station,4.0,753
Tik Railway Station,3.0,1
Kurukshetra Railway Station,4.1,4993
Dhoda Kheri Railway Station,3.6,21
Karnal Railway Station,4.2,6811
Jakhal Junction Railway Station,4.0,250
Panipat Railway Station,4.0,1071
Sabarmati Railway Station,4.0,38
Shamli Railway Station,3.8,154
Thana Bhawan Town Railway Station,4.1,559
Samalkha Railway Station,4.1,1359
Yamunanagar Railway Station,4.0,1093
Jagadhri Railway Station,4.2,866
Ganaur Railway Station,4.1,473
Rewari Railway Station,4.1,5995
Quatabpur Railway Station,3.1,26
Pataudi Road Railway Station,4.0,890
New Ateli Railway Station,4.8,4
Kanina Khas Railway Station,4.4,80
Harsoli Railway Station,4.0,265
Farrukhnagar Railway Station,4.2,154
Gudha Railway Station,4.0,2
Sultanpur Railway Station,3.7,35
Sampla Railway Station,4.0,289
Jasia Railway Station,3.0,1
Rohed Nagar Halt Railway Station,4.0,29
Asaudha Railway Station,4.1,71
Narela Railway Station,3.8,4
Holambi Kalan Railway Station,4.4,8
Baghpat Road Railway Station,4.0,458
Khera Kalan Railway Station,4.0,57
Khekra Railway Station,3.8,88
Jawanwala Shahr Railway Station,4.1,51
Harsar Dehri Railway Station,4.0,97
Kangra Mandir Railway Station,4.1,119
Kangra Railway Station,4.2,110
Nagrota Surian Railway Station,4.5,79
Pathankot Cantt Railway Station,4.0,1094
Palampur Railway Station,4.6,161
Baijnath Paprola Railway Station,4.8,44
Gurdaspur Railway Station,4.5,4
Joginder Nagar Railway Station,4.3,205
Dasuya Railway Station,3.8,158
Bilaspur Himachal Railway Station,3.6,47
Shimla Old Railway Station,4.3,197
Shimla Railway Station,4.5,1245
Nangal Dam Railway Station,4.1,441
Taradevi,4.3,72
Barog Railway Station,4.6,2274
Salogra Railway Station,4.0,50
Solan Railway Station,4.4,1109
Kandaghat Railway Station,4.2,134
Banihal Railway Station,4.1,2368
