longitude,latitude,Station_Code,Total_Score,Station_Name_lower
81.867081,25.467939,PRG,833.82,prayag jn
72.3847494653,23.0242158216,SAU,707.46,sanand
72.052968,23.129098,VG,728.22,viramgam jn
70.053879,22.493992,JAM,818.3,jamnagar
68.980434,22.251023,DWK,642.75,dwarka
69.073775,22.47096,OKHA,814.23,okha
70.147754,23.069086,GIMB,816.18,gandhidham bg
78.594157,20.732777,WR,813.14,wardha jn
76.690331,20.801724,SEG,801.07,shegaon
76.202946,20.891974,MKU,834.61,malkapur
78.003442,26.500504,MRA,722.47,morena
79.5542552124,26.6321183177,PHD,651.84,phaphund
77.431099,28.649702,GZB,827.46,ghaziabad
76.963793,29.388948,PNP,695.85,panipat jn
76.852795,29.96944,KKDE,776.76,kurukshetra jn
76.931759,30.837667,KLK,818.4,kalka
72.855718,22.694106,ND,734.43,nadiad jn
77.017343,28.989423,SNP,557.7,sonipat jn
76.383194,30.624222,SIR,817.25,sirhind jn
75.591499,31.331665,JUC,752.64,jalandhar city
76.566723,27.039271,BKI,787.76,bandikui jn
87.11698,23.602851,RNG,583.48,raniganj
86.119775,23.755676,CRP,813.5,chandrapura
77.585037,17.25044,TDU,761.31,tandur
77.909409,17.337132,VKB,677.04,vikarabad jn
78.4586266,17.4388739,BMT,734.91,begumpet
76.5940201901,30.486458949,RPJ,848.68,rajpura jn
79.54633,29.266583,KGM,757.06,kathgodam
79.533732,29.215097,HDW,694.93,haldwani
79.379212,28.969281,RUPC,796.16,rudrapur city
79.023419,28.778863,RMU,752.52,rampur
87.915236,24.794558,NFK,731.9,new farakka jn
76.969821,29.694566,KUN,781.16,karnal
86.9985316705,22.4549644863,JGM,436.89,jhargram
86.399854,24.779456,JAJ,804.16,jhajha
86.254775,24.971949,JMU,781.61,jamui
85.709426,25.46165,BARH,740.27,barh
80.109045,29.067103,TPU,793.81,tanakpur
79.813946,28.614978,PBE,687.28,pilibhit jn
79.403718,28.3556564,BC,782.15,bareilly city
79.4109744,28.3372843,BRY,784.58,bareilly
79.16915,28.296051,AO,728.44,aonla
78.991164,28.368424,DUB,674.41,dabtara
78.780268,28.458626,CH,769.16,chandausi jn
78.474329,28.892688,AMRO,688.42,amroha
77.779576,28.739613,HPU,746.47,hapur
77.364182,28.674037,SBB,605.72,sahibabad
77.293154,28.673098,DSA,695.59,delhi shahdara
76.6360518042,30.7263803992,KARR,667.84,kharar
77.031686,26.756164,HAN,661.38,hindaun city
77.488613,27.237107,BTE,692.37,bharatpur jn
77.312775968,28.3408609239,BVH,634.13,ballabgarh
75.245456,26.872814,FL,900.61,phulera jn
75.598294,27.457628,SMPR,669.86,shri madhopur
83.39067,21.891289,RIG,837.1,raigarh
81.946062,21.732464,BYT,858.76,bhatapara
76.774119,19.25746,PBN,687.69,parbhani jn
77.024985,19.180527,PAU,800.35,purna jn
76.356508,10.108163,AWY,683.86,aluva
76.512933,9.182586,KYJ,712.78,kayankulam jn
79.845121,14.148227,GDR,778.0,gudur jn
80.353602,15.830755,CLX,769.14,chirala
80.4582228,16.3100404,NGNT,684.08,new guntur
76.2520848,13.314425,ASK,752.65,arsikere jn
75.812314,14.515431,HRR,736.63,harihar
75.492987,11.75314,TLY,744.1,thalassery
75.5869409,11.5933214,BDJ,792.3,vadakara
76.580267,9.392148,TRVL,660.51,tiruvalla
79.62868,11.095237,MV,753.54,mayiladuturai j
79.388644,10.952962,KMU,718.52,kumbakonam
79.138296,10.778085,TJ,734.38,thanjavur
75.812209,13.710886,TKE,752.65,tarikere
75.583174,13.943037,SMET,861.37,shimoga town
92.5563227,24.8651775,BPB,761.17,badarpur jn
85.038112915,25.3552301906,TEA,795.18,taregna
83.668324,25.419424,DLN,727.79,dildarnagar jn
84.8740874,25.5609486,BTA,837.11,bihta
84.359267,26.210724,SV,797.96,siwan jn
83.7819590961,26.5076811676,DEOS,575.32,deoria sadar
85.907575,26.157088,DBG,763.89,darbhanga jn
86.134871,26.589465,JYG,610.89,jaynagar
82.679662,26.061399,SHG,635.56,shahganj jn
79.667991,13.081512,AJJ,649.73,arakkonam
80.244533,13.10702,PER,700.92,perambur
82.699696,25.762849,JNU,734.25,jaunpur jn
78.0191,27.183308,AF,618.59,agra fort
77.314104,24.6405,GUNA,667.98,guna
86.736175,25.24085,SGG,650.13,sultanganj
86.492285,25.313906,JMP,776.03,jamalpur jn
77.761305,12.995253,WFD,729.09,whitefield
81.978152,27.154613,GD,612.23,gonda jn
76.353227,21.823596,KNW,633.45,khandwa
76.4041,30.344249,PTA,776.79,patiala
72.840535,19.061911,BDTS,701.1,bandra terminus
73.000633,21.623889,AKV,770.61,ankleshwar jn
71.397067,25.7445219,BME,858.78,barmer
84.90529,26.655733,BMKI,879.63,bapudham motihari
84.464045,27.105035,NKE,763.24,narkatiaganj jn
82.1606698987,27.4158206073,BLP,752.52,balrampur
76.641926,10.802091,PGT,570.16,palakkad jn
78.178188,12.984808,BWT,700.91,bangarapet
74.253374,22.843607,DHD,777.44,dahod
77.8148356,23.5222886,BHS,651.06,vidisha
78.74292,23.84735,SGO,834.98,saugor
79.432246,23.836693,DMO,767.56,damoh
80.4014844,23.8343563,KMZ,537.75,katni murwara
83.564347,25.93948,MAU,670.19,mau jn
83.934035,26.381257,BTT,564.65,bhatni jn
74.853025,24.459873,NMH,757.17,nimach
79.571737,27.38236,FBD,488.9,farrukhabad
79.926109,27.026507,KJN,519.31,kannauj
79.306787,9.280973,RMM,681.55,rameswaram
78.836862,9.358387,RMD,742.83,ramanathapuram
78.45351,9.681539,MNM,727.53,manamadurai jn
76.051191,22.977556,DWX,470.93,dewas
74.7736278176308,29.192562738769,NHR,814.23,nohar
